[2024-11-09 06:11:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/waypoints/waypoints-for-editor.js
[2024-11-09 06:11:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.js
[2024-11-09 06:11:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js
[2024-11-09 06:11:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/js/1bef795bdeaafc779b19.bundle.min.js
[2024-11-09 06:11:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/js/4569ab75c577ec92c0bb.bundle.js
[2024-11-09 06:11:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/js/49c816d19da28d022afe.bundle.js
[2024-11-09 06:11:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/js/54ec8bb1df28d799d240.bundle.js
[2024-11-09 06:11:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/js/5ce3f7e7b60c9a9a6060.bundle.js
[2024-11-09 06:11:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/js/62aed6374b1561fb5fd8.bundle.js
[2024-11-09 06:11:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/js/8860c7bcf54e5ffd4068.bundle.min.js
